---
title: MBTA Yearly Revenue
license: CC BY-SA 4.0
---
year,Revenue from fares,Revenue,Percent of revenue from fares
1991,156425035.8,721464870.8,21.6815873
1992,167054656,774136042,21.579496
1993,175970945,793401487,22.1793062
1994,184921509,828174260,22.3288163
1995,190113920,784502119,24.2337038
1996,191814620.5,807464445.8,23.7551785
1997,197735098.8,851940885.4,23.2099553
1998,214324485.3,919491227.3,23.3090299
1999,222434160.5,1004833037,22.1364299
2000,230974595.2,1017449489,22.7013329
2001,280982907,1081770908,25.9743449
2002,283287567,1143348909,24.7770007
2003,274205790,1153490436,23.7718304
2004,295496104.1,1184163607,24.953993
2005,319271166.2,1226081013,26.0399731
2006,333095971,1267038333,26.2893365
2007,386487953,1339179419,28.8600577
2008,440961963,1407753918,31.3237958
2009,448751949,1446464944,31.024046,
2010,439322438,1612672394,27.2418899
2011,448813678,1613182476,27.8216311
2012,465755373.2,1657345676,28.1024882
2013,564560142.1,1794340699,31.463375
2014,569188335,1866555455,30.494049
2015,597647752,1943092703,30.75755
2016,283287567,1143348909,24.7770007
2017,659200000,1941500000,33.953129
2018,666950000,1945100000,34.2887255
2019,671700000,2169700000,30.958197
2020,545700000,2271100000,24.0280041
2021,167100000,2642100000,6.32451459
2022,322300000,3024000000,10.6580688
2023,474300000,2297800000,20.6414832
---

## 🔗 Sources

- https://cdn.mbta.com/sites/default/files/2017-10/fy15-sore-history-budget-1991-2015.pdf
- https://cdn.mbta.com/sites/default/files/2017-10/fy16-sore-history-budget-1991-2016.pdf
- https://cdn.mbta.com/sites/default/files/financials/budgets/fy17-itemized-budget.pdf
- https://cdn.mbta.com/sites/default/files/financials/budgets/fy18-itemized-budget.pdf
- https://cdn.mbta.com/sites/default/files/financials/budgets/fy19-itemized-budget.pdf
- https://cdn.mbta.com/sites/default/files/fmcb-meeting-docs/2019/04-april/2018-04-08-fmcb-K-fy20-final-itemized-operating-budget-support-accessible.pdf
- https://cdn.mbta.com/sites/default/files/2022-01/2022-01-13-itemized-budget-fy2021.pdf
- https://cdn.mbta.com/sites/default/files/2022-01/2022-01-13-itemized-budget-fy2022.pdf
- https://cdn.mbta.com/sites/default/files/2022-06/FY23%20Itemized%20Budget.pdf
- https://cdn.mbta.com/sites/default/files/2023-06/FY24%20Itemized%20Budget.pdf

# 📝 Notes

Eventually, the itemized budgets became just that – a budget based on estimation, *however*, the budget reports the actual results of last year.
---
